Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
PEP,"PepsiCo, Inc.",164.94,USD,Beni di consumo non durevoli,225415097289,USD,
INTC,Intel Corporation,44.11,USD,Tecnologia elettronica,220329453049,USD,
AMGN,Amgen Inc.,374.75,USD,Tecnologia sanitaria,202015616073.99997,USD,
TXN,Texas Instruments Incorporated,219.73,USD,Tecnologia elettronica,199416115875,USD,
KLAC,KLA Corporation,1496,USD,Tecnologia elettronica,196090615112,USD,
GILD,"Gilead Sciences, Inc.",151.4,USD,Tecnologia sanitaria,187838878634,USD,
ISRG,"Intuitive Surgical, Inc.",504.05,USD,Tecnologia sanitaria,179003397685,USD,
ADI,"Analog Devices, Inc.",355.03,USD,Tecnologia elettronica,173327123251,USD,
SHOP,"Shopify, Inc. Class A",126.2,USD,Servizi commerciali,164578847337.40186,USD,
HON,Honeywell International Inc.,243.97,USD,Tecnologia elettronica,155085791346.00003,USD,
QCOM,QUALCOMM Incorporated,142.88,USD,Tecnologia elettronica,152452965210,USD,
PDD,PDD Holdings Inc. Sponsored ADR Class A,104.94,USD,Vendita al dettaglio,146091853121,USD,
APP,AppLovin Corp. Class A,418.68,USD,Servizi tecnologici,141274355635,USD,
ARM,ARM Holdings PLC Sponsored ADR,125.58,USD,Tecnologia elettronica,133365961944.99998,USD,
BKNG,Booking Holdings Inc.,4076.79,USD,Servizi al consumatore,129125579706.00002,USD,
PANW,"Palo Alto Networks, Inc.",148.7,USD,Servizi tecnologici,121339197509.99998,USD,
VRTX,Vertex Pharmaceuticals Incorporated,476.9,USD,Tecnologia sanitaria,121148906019,USD,
CMCSA,Comcast Corporation Class A,31.34,USD,Servizi al consumatore,112756493761,USD,
SBUX,Starbucks Corporation,97.49,USD,Servizi al consumatore,111070359326,USD,
CEG,Constellation Energy Corporation,294.84,USD,Utenze,106836885079,USD,
ADBE,Adobe Inc.,258.61,USD,Servizi tecnologici,106159398986.99998,USD,
INTU,Intuit Inc.,380.55,USD,Servizi tecnologici,105897185513.00002,USD,
MELI,"MercadoLibre, Inc.",1996.87,USD,Vendita al dettaglio,101235680977,USD,
CRWD,"CrowdStrike Holdings, Inc. Class A",388.6,USD,Servizi tecnologici,97965453165,USD,
WDC,Western Digital Corporation,285.52,USD,Tecnologia elettronica,96802107004.99998,USD,
MAR,"Marriott International, Inc. Class A",347.93,USD,Servizi al consumatore,92196075361,USD,
STX,Seagate Technology Holdings PLC,411.11,USD,Tecnologia elettronica,89652012125,USD,
ADP,"Automatic Data Processing, Inc.",214.47,USD,Servizi tecnologici,86355140383,USD,
SNPS,"Synopsys, Inc.",439.94,USD,Servizi tecnologici,84168532361.00002,USD,
REGN,"Regeneron Pharmaceuticals, Inc.",779.67,USD,Tecnologia sanitaria,82413188430,USD,
MNST,Monster Beverage Corporation,83.76,USD,Beni di consumo non durevoli,81835296057,USD,
CDNS,"Cadence Design Systems, Inc.",296.28,USD,Servizi tecnologici,80781038237,USD,
CTAS,Cintas Corporation,200.02,USD,Servizi commerciali,79985929189,USD,
ORLY,"O'Reilly Automotive, Inc.",93.5,USD,Vendita al dettaglio,78923730072,USD,
CSX,CSX Corporation,42.31,USD,Trasporti,78677849183,USD,
ABNB,"Airbnb, Inc. Class A",127.89,USD,Servizi al consumatore,77848427424,USD,
DASH,"DoorDash, Inc. Class A",176.29,USD,Trasporti,76608025563,USD,
MDLZ,"Mondelez International, Inc. Class A",58.8,USD,Beni di consumo non durevoli,75372519188.00002,USD,
WBD,"Warner Bros. Discovery, Inc. Series A",28.75,USD,Servizi al consumatore,71296757202,USD,
AEP,"American Electric Power Company, Inc.",129.37,USD,Utenze,69971251067,USD,
MRVL,"Marvell Technology, Inc.",79.48,USD,Tecnologia elettronica,69241927212,USD,
PCAR,PACCAR Inc,128.46,USD,Filiera di fabbricazione,67556399334,USD,
ROST,"Ross Stores, Inc.",201.45,USD,Vendita al dettaglio,65157983443.00001,USD,
BKR,Baker Hughes Company Class A,62.21,USD,Servizi industriali,61478192459,USD,
FTNT,"Fortinet, Inc.",80,USD,Servizi tecnologici,59491850586,USD,
NXPI,NXP Semiconductors NV,232.27,USD,Tecnologia elettronica,58692967160,USD,
MPWR,"Monolithic Power Systems, Inc.",1204.1,USD,Tecnologia elettronica,57684819331,USD,
FAST,Fastenal Company,46.22,USD,Servizi di distribuzione,53068843989.00001,USD,
FER,Ferrovial SE,72.76,USD,Servizi industriali,52258632017.83603,USD,
IDXX,"IDEXX Laboratories, Inc.",635.66,USD,Tecnologia sanitaria,50758291733.99999,USD,
FANG,"Diamondback Energy, Inc.",176.01,USD,Minerali energetici,50431375401,USD,
EA,Electronic Arts Inc.,200.4,USD,Servizi tecnologici,50150844590.99999,USD,
EXC,Exelon Corporation,47.79,USD,Utenze,48884037245,USD,
XEL,Xcel Energy Inc.,81.55,USD,Utenze,48240067104,USD,
ADSK,"Autodesk, Inc.",226.98,USD,Servizi tecnologici,48119759094,USD,
CCEP,Coca-Cola Europacific Partners plc,105.7,USD,Beni di consumo non durevoli,47480249603,USD,
ALNY,"Alnylam Pharmaceuticals, Inc",336.19,USD,Tecnologia sanitaria,44586573232.00001,USD,
ODFL,"Old Dominion Freight Line, Inc.",201.39,USD,Trasporti,42110333586,USD,
MCHP,Microchip Technology Incorporated,77.73,USD,Tecnologia elettronica,42062459334.99999,USD,
DDOG,"Datadog, Inc. Class A",115.66,USD,Servizi tecnologici,40791299515,USD,
KDP,Keurig Dr Pepper Inc.,29.54,USD,Beni di consumo non durevoli,40132546901,USD,
GEHC,GE Healthcare Technologies Inc.,84.23,USD,Tecnologia sanitaria,38387806036,USD,
PYPL,"PayPal Holdings, Inc.",41.65,USD,Servizi commerciali,38345679945,USD,
MSTR,Strategy Inc Class A,131.05,USD,Servizi tecnologici,37657677180,USD,
TRI,Thomson Reuters Corporation,83.2,USD,Servizi tecnologici,37010895205.15133,USD,
TTWO,"Take-Two Interactive Software, Inc.",199.72,USD,Servizi tecnologici,36983240213,USD,
WDAY,"Workday, Inc. Class A",137.81,USD,Servizi tecnologici,36244029358,USD,
ROP,"Roper Technologies, Inc.",335.79,USD,Servizi tecnologici,36143572963,USD,
INSM,Insmed Incorporated,164.91,USD,Tecnologia sanitaria,35546663817,USD,
CPRT,"Copart, Inc.",36.48,USD,Vendita al dettaglio,35313285260,USD,
AXON,Axon Enterprise Inc,433.91,USD,Tecnologia elettronica,34240041917.000004,USD,
PAYX,"Paychex, Inc.",91.24,USD,Servizi tecnologici,32752188253,USD,
CHTR,"Charter Communications, Inc. Class A",230.16,USD,Servizi al consumatore,32712997383,USD,
CTSH,Cognizant Technology Solutions Corporation Class A,65.03,USD,Servizi tecnologici,31100396476,USD,
KHC,Kraft Heinz Company,24.4,USD,Beni di consumo non durevoli,28883371471.999996,USD,
DXCM,"DexCom, Inc.",73.08,USD,Tecnologia sanitaria,28125923040,USD,
ZS,"Zscaler, Inc.",159.75,USD,Servizi tecnologici,25475525265,USD,
VRSK,"Verisk Analytics, Inc.",182.5,USD,Servizi tecnologici,25174395751.999996,USD,
CSGP,"CoStar Group, Inc.",49.87,USD,Servizi tecnologici,21136041807,USD,
TEAM,Atlassian Corp Class A,75.98,USD,Servizi tecnologici,20110326913,USD,
