Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
HNI,HNI Corporation,49.9,USD,Filiera di fabbricazione,3567750364.0000005,USD,
LUNR,"Intuitive Machines, Inc. Class A",17.55,USD,Tecnologia elettronica,3566336578,USD,
OTTR,Otter Tail Corporation,84.95,USD,Utenze,3563951543.0000005,USD,
HIMS,"Hims & Hers Health, Inc. Class A",15.63,USD,Servizi sanitari,3558146273,USD,
HP,"Helmerich & Payne, Inc.",35.63,USD,Servizi industriali,3557637339,USD,
BKD,Brookdale Senior Living Inc.,14.9,USD,Servizi sanitari,3543106731,USD,
WSBC,"WesBanco, Inc.",36.85,USD,Finanza,3539270687,USD,
AAOI,"Applied Optoelectronics, Inc.",51.68,USD,Tecnologia elettronica,3528704838,USD,
LGN,Legence Corp. Class A,55.24,USD,Servizi industriali,3527459354.2400002,USD,
CRGY,Crescent Energy Company Class A,10.71,USD,Minerali energetici,3516969149,USD,
LRN,"Stride, Inc.",82.58,USD,Servizi al consumatore,3516280256,USD,
GNW,"Genworth Financial, Inc.",8.78,USD,Finanza,3506561159,USD,
CSTM,Constellium SE Class A,25.44,USD,Minerali non energetici,3505677568.9999995,USD,
EXPO,"Exponent, Inc.",70.16,USD,Servizi industriali,3500087966.0000005,USD,
WK,Workiva Inc. Class A,61.43,USD,Servizi tecnologici,3496757879,USD,
ALMS,Alumis Inc.,27.97,USD,Tecnologia sanitaria,3487604306.0000005,USD,
TTAM,Titan America SA,18.91,USD,Minerali non energetici,3486294327,USD,
NIC,"Nicolet Bankshares, Inc.",161.37,USD,Finanza,3471301936,USD,
OII,"Oceaneering International, Inc.",34.79,USD,Filiera di fabbricazione,3471179561,USD,
OSCR,"Oscar Health, Inc. Class A",13.23,USD,Servizi sanitari,3468337161,USD,
EOSE,"Eos Energy Enterprises, Inc. Class A",10.7,USD,Filiera di fabbricazione,3467850410.9999995,USD,
FIZZ,National Beverage Corp.,37.01,USD,Beni di consumo non durevoli,3465323974,USD,
MIAX,"Miami International Holdings, Inc.",40.53,USD,Finanza,3462399884.9999995,USD,
AVA,Avista Corporation,42.33,USD,Utenze,3444465998,USD,
AHL,Aspen Insurance Holdings Ltd Class A,37.5,USD,Finanza,3443938637,USD,
FG,F&G Annuities & Life Inc,25.48,USD,Finanza,3430105750.0000005,USD,
GRBK,"Green Brick Partners, Inc.",78.72,USD,Beni di consumo durevoli,3429444552.9999995,USD,
CNS,"Cohen & Steers, Inc.",67.12,USD,Finanza,3423626080,USD,
CBU,"Community Financial System, Inc.",64.99,USD,Finanza,3422469965,USD,
BBUC,Brookfield Business Corp. Class A,35.5,USD,Servizi industriali,3405545427.946612,USD,
SYRE,"Spyre Therapeutics, Inc",43.21,USD,Tecnologia sanitaria,3393720291,USD,
SEI,"Solaris Energy Infrastructure, Inc. Class A",49.24,USD,Servizi tecnologici,3370841862.0000005,USD,
AAP,"Advance Auto Parts, Inc.",55.87,USD,Vendita al dettaglio,3357786851,USD,
APAM,"Artisan Partners Asset Management, Inc. Class A",41.6,USD,Finanza,3357002301,USD,
TGNA,"TEGNA, Inc.",20.83,USD,Servizi al consumatore,3354812672,USD,
ATGE,Adtalem Global Education Inc.,96.64,USD,Servizi al consumatore,3334903547.9999995,USD,
INSW,"International Seaways, Inc.",67.47,USD,Trasporti,3332649084.0000005,USD,
QLYS,"Qualys, Inc.",92.66,USD,Servizi tecnologici,3322630846.9999995,USD,
TOWN,TowneBank,35.96,USD,Finanza,3317216086.9999995,USD,
IPAR,"Interparfums, Inc.",103.41,USD,Beni di consumo non durevoli,3315813617,USD,
SBCF,Seacoast Banking Corporation of Florida,33.75,USD,Finanza,3301699991,USD,
BXMT,"Blackstone Mortgage Trust, Inc. Class A",19.52,USD,Finanza,3293778476,USD,
PBH,Prestige Consumer Healthcare Inc,69.58,USD,Tecnologia sanitaria,3292437278,USD,
PAGS,PagSeguro Digital Ltd. Class A,11.29,USD,Servizi commerciali,3285181595,USD,
SOUN,"SoundHound AI, Inc Class A",7.82,USD,Servizi tecnologici,3285149485,USD,
BOX,"Box, Inc. Class A",22.87,USD,Servizi tecnologici,3275620219.9999995,USD,
BFH,"Bread Financial Holdings, Inc.",75.73,USD,Finanza,3265107888,USD,
SYNA,Synaptics Incorporated,84.28,USD,Tecnologia elettronica,3264142773,USD,
XENE,Xenon Pharmaceuticals Inc.,42.23,USD,Tecnologia sanitaria,3263323601,USD,
KFY,Korn Ferry,62.2,USD,Servizi commerciali,3246525699,USD,
WDFC,WD-40 Company,238.48,USD,Industrie di trasformazione,3216213106,USD,
PLMR,"Palomar Holdings, Inc.",120.61,USD,Finanza,3196369066,USD,
PTEN,"Patterson-UTI Energy, Inc.",8.41,USD,Servizi industriali,3192227335,USD,
BOH,Bank of Hawaii Corp,80.07,USD,Finanza,3185592562,USD,
FLY,"Firefly Aerospace, Inc.",19.98,USD,Tecnologia elettronica,3181837488.0000005,USD,
CPK,Chesapeake Utilities Corporation,134.39,USD,Utenze,3178415456.0000005,USD,
FFBC,First Financial Bancorp.,30.36,USD,Finanza,3175233759,USD,
CTRI,"Centuri Holdings, Inc.",31.85,USD,Utenze,3171603414,USD,
QTWO,"Q2 Holdings, Inc.",50.78,USD,Servizi tecnologici,3168893799.9999995,USD,
CAKE,Cheesecake Factory Incorporated,63.54,USD,Servizi al consumatore,3166941032,USD,
PRK,Park National Corporation,175.15,USD,Finanza,3164442524.9999995,USD,
FBK,FB Financial Corporation,59.08,USD,Finanza,3158563336,USD,
DNLI,Denali Therapeutics Inc.,20.19,USD,Tecnologia sanitaria,3152837285,USD,
DIOD,Diodes Incorporated,68.45,USD,Tecnologia elettronica,3140311769,USD,
SXI,Standex International Corporation,257.77,USD,Tecnologia elettronica,3123845777,USD,
BANC,"Banc of California, Inc.",20.07,USD,Finanza,3119766877.9999995,USD,
USLM,"United States Lime & Minerals, Inc.",108.87,USD,Minerali non energetici,3117971402,USD,
NATL,NCR Atleos Corporation,42.16,USD,Tecnologia elettronica,3115798069,USD,
ARQT,Arcutis Biotherapeutics Inc,25.415,USD,Tecnologia sanitaria,3113139251,USD,
SFNC,Simmons First National Corporation Class A,21.47,USD,Finanza,3107086564.9999995,USD,
EWTX,"Edgewise Therapeutics, Inc.",29.31,USD,Tecnologia sanitaria,3103003882,USD,
MTRN,Materion Corporation,149.03,USD,Tecnologia elettronica,3090317899.9999995,USD,
CWK,Cushman & Wakefield Ltd.,13.33,USD,Finanza,3090183257,USD,
COCO,"Vita Coco Company, Inc.",53.96,USD,Beni di consumo non durevoli,3080153970,USD,
LASR,"nLIGHT, Inc.",56.01,USD,Tecnologia elettronica,3067291376.0000005,USD,
HWKN,"Hawkins, Inc.",146.5,USD,Industrie di trasformazione,3062156754,USD,
CNK,"Cinemark Holdings, Inc.",26.49,USD,Servizi al consumatore,3060290005,USD,
BKV,BKV Corporation,31.42,USD,Minerali energetici,3046871038.0000005,USD,
FLNC,"Fluence Energy, Inc. Class A",16.55,USD,Filiera di fabbricazione,3044128676,USD,
OPLN,"OPENLANE, Inc.",28.63,USD,Servizi tecnologici,3043289490,USD,
BCC,Boise Cascade Co.,82.13,USD,Servizi di distribuzione,3042347694.0000005,USD,
CON,"Concentra Group Holdings Parent, Inc.",23.67,USD,Servizi sanitari,3033788562,USD,
KWR,Quaker Houghton,174.44,USD,Industrie di trasformazione,3024795658,USD,
VRRM,Verra Mobility Corp. Class A,18.94,USD,Trasporti,3022150827,USD,
KMT,Kennametal Inc.,39.59,USD,Filiera di fabbricazione,3016710167,USD,
PFS,"Provident Financial Services, Inc.",23.08,USD,Finanza,3014764416,USD,
MARA,"MARA Holdings, Inc.",7.97,USD,Servizi tecnologici,3014129243,USD,
MSGE,Madison Square Garden Entertainment Corp.,63.71,USD,Servizi al consumatore,3011784790,USD,
CPRX,"Catalyst Pharmaceuticals, Inc.",24.3,USD,Tecnologia sanitaria,2986771024,USD,
MRX,Marex Group plc,41.93,USD,Servizi tecnologici,2986745399.9999995,USD,
TWST,Twist Bioscience Corp.,48.59,USD,Tecnologia sanitaria,2979135644.9999995,USD,
ITGR,Integer Holdings Corporation,84.85,USD,Tecnologia sanitaria,2973010346,USD,
NMIH,"NMI Holdings, Inc.",39.04,USD,Finanza,2968313683,USD,
BULL,Webull Corporation,5.91,USD,Servizi tecnologici,2965737387.0000005,USD,
HG,"Hamilton Insurance Group, Ltd. Class B",30.42,USD,Finanza,2958694841,USD,
MGEE,"MGE Energy, Inc.",80.9,USD,Utenze,2956235497,USD,
BELFB,Bel Fuse Inc. Class B,235.04,USD,Tecnologia elettronica,2935485076.9999995,USD,
BELFA,Bel Fuse Inc. Class A,216.01,USD,Tecnologia elettronica,2935485076.9999995,USD,
AMBA,"Ambarella, Inc.",68.01,USD,Tecnologia elettronica,2927863489,USD,
VERA,"Vera Therapeutics, Inc. Class A",41.76,USD,Tecnologia sanitaria,2925963131,USD,
LQDA,Liquidia Corporation,33.59,USD,Tecnologia sanitaria,2922178301,USD,
APLE,Apple Hospitality REIT Inc,12.35,USD,Finanza,2921709783,USD,
SUPN,"Supernus Pharmaceuticals, Inc.",50.86,USD,Tecnologia sanitaria,2916279460,USD,
XMTR,"Xometry, Inc. Class A",56.68,USD,Servizi tecnologici,2904717025.9999995,USD,
DBRG,"DigitalBridge Group, Inc. Class A",15.4,USD,Finanza,2902361554,USD,
SHOO,"Steven Madden, Ltd.",39.89,USD,Beni di consumo non durevoli,2898325027,USD,
WRBY,"Warby Parker, Inc. Class A",23.71,USD,Vendita al dettaglio,2896527633,USD,
SLG,SL Green Realty Corp.,38.04,USD,Finanza,2887581181,USD,
PHIN,PHINIA Inc.,75.99,USD,Filiera di fabbricazione,2881173013,USD,
UPST,"Upstart Holdings, Inc.",29.29,USD,Finanza,2872214736.9999995,USD,
CARG,"CarGurus, Inc. Class A",30.17,USD,Servizi tecnologici,2871856674.9999995,USD,
CURB,Curbline Properties Corp.,27.25,USD,Finanza,2871276234,USD,
DBD,Diebold Nixdorf Incorporation,81.24,USD,Tecnologia elettronica,2857457570.9999995,USD,
LXP,LXP Industrial Trust,48.31,USD,Finanza,2854011594,USD,
AWR,American States Water Company,72.94,USD,Utenze,2850675453,USD,
CHEF,"Chefs' Warehouse, Inc.",70.02,USD,Servizi di distribuzione,2848802123,USD,
HAE,Haemonetics Corporation,61.19,USD,Tecnologia sanitaria,2843581942,USD,
GBTG,"Global Business Travel Group, Inc. Class A",5.43,USD,Servizi al consumatore,2842746758,USD,
WOR,"Worthington Enterprises, Inc.",57.16,USD,Filiera di fabbricazione,2832082578,USD,
TARS,"Tarsus Pharmaceuticals, Inc.",66.61,USD,Tecnologia sanitaria,2827534864,USD,
TR,"Tootsie Roll Industries, Inc.",41.51,USD,Beni di consumo non durevoli,2827251630,USD,
DX,"Dynex Capital, Inc.",14.13,USD,Finanza,2820143067,USD,
VCYT,"Veracyte, Inc.",35.63,USD,Tecnologia sanitaria,2816522063,USD,
AMBP,Ardagh Metal Packaging S.A,4.7,USD,Industrie di trasformazione,2809187934.9999995,USD,
DRVN,"Driven Brands Holdings, Inc.",17.08,USD,Servizi al consumatore,2808878127,USD,
IDYA,"IDEAYA Biosciences, Inc.",31.98,USD,Tecnologia sanitaria,2808292507,USD,
CECO,CECO Environmental Corp.,78.78,USD,Filiera di fabbricazione,2807800248.9999995,USD,
TVTX,"Travere Therapeutics, Inc.",30.39,USD,Tecnologia sanitaria,2803220546,USD,
DHT,"DHT Holdings, Inc.",17.45,USD,Trasporti,2801736933,USD,
BEAM,"Beam Therapeutics, Inc.",27.59,USD,Tecnologia sanitaria,2799693750,USD,
TRN,"Trinity Industries, Inc.",34.97,USD,Filiera di fabbricazione,2791995164.9999995,USD,
VRNS,"Varonis Systems, Inc.",23.69,USD,Servizi tecnologici,2782336629.9999995,USD,
LFST,"Lifestance Health Group, Inc.",7.15,USD,Servizi sanitari,2781352001,USD,
CVBF,CVB Financial Corp.,20.48,USD,Finanza,2781034624.9999995,USD,
ATRO,Astronics Corporation,78.25,USD,Tecnologia elettronica,2778956818,USD,
MGRC,McGrath RentCorp,112.77,USD,Finanza,2775456385.9999995,USD,
FCPT,"Four Corners Property Trust, Inc.",25.26,USD,Finanza,2772159758,USD,
BKE,"Buckle, Inc.",53.94,USD,Vendita al dettaglio,2759388220,USD,
NOG,"Northern Oil and Gas, Inc.",28.15,USD,Minerali energetici,2747523678.9999995,USD,
SDRL,Seadrill Limited,44.21,USD,Servizi industriali,2747025490,USD,
HE,"Hawaiian Electric Industries, Inc.",15.86,USD,Utenze,2737760565,USD,
NMRK,"Newmark Group, Inc. Class A",15.1,USD,Finanza,2729076404,USD,
CWT,California Water Service Group,45.75,USD,Utenze,2726303764,USD,
BATRK,Atlanta Braves Holdings Inc Class C,43.13,USD,Servizi al consumatore,2719692086,USD,
BATRA,Atlanta Braves Holdings Inc Class A,47.78,USD,Servizi al consumatore,2719692086,USD,
PRVA,"Privia Health Group, Inc.",21.99,USD,Finanza,2704803694,USD,
FSLY,"Fastly, Inc. Class A",18.08,USD,Servizi tecnologici,2701151878,USD,
CALY,Callaway Golf Company,14.6,USD,Beni di consumo durevoli,2684701163.0000005,USD,
UCTT,"Ultra Clean Holdings, Inc.",59.15,USD,Filiera di fabbricazione,2684646370,USD,
TRMK,Trustmark Corporation,44.72,USD,Finanza,2681333271,USD,
FRME,First Merchants Corporation,42.37,USD,Finanza,2671510508,USD,
VSH,"Vishay Intertechnology, Inc.",19.67,USD,Tecnologia elettronica,2671077809,USD,
ABM,ABM Industries Incorporated,45.55,USD,Servizi commerciali,2669155690,USD,
BBT,Beacon Financial Corporation,31.78,USD,Finanza,2666623605,USD,
AKR,Acadia Realty Trust,20.28,USD,Finanza,2657479085,USD,
NSIT,"Insight Enterprises, Inc.",85.5,USD,Servizi tecnologici,2650200914,USD,
HUBG,"Hub Group, Inc. Class A",43.27,USD,Trasporti,2646112347.0000005,USD,
UE,Urban Edge Properties,21,USD,Finanza,2645077789,USD,
CPRI,Capri Holdings Limited,22.15,USD,Vendita al dettaglio,2639435269.0000005,USD,
VRDN,"Viridian Therapeutics, Inc.",27.44,USD,Tecnologia sanitaria,2618928777,USD,
MH,"McGraw Hill, Inc.",13.71,USD,Servizi commerciali,2618630717.9999995,USD,
PLUG,Plug Power Inc.,1.87,USD,Tecnologia elettronica,2602357931.0000005,USD,
NGVT,Ingevity Corporation,72.19,USD,Industrie di trasformazione,2596243502,USD,
RXO,"RXO, Inc.",15.76,USD,Servizi tecnologici,2587697000,USD,
ALG,Alamo Group Inc.,213.46,USD,Filiera di fabbricazione,2586159336.0000005,USD,
TPB,Turning Point Brands Inc,135.52,USD,Beni di consumo non durevoli,2584469058,USD,
FBNC,First Bancorp,62.23,USD,Finanza,2580387356,USD,
GT,Goodyear Tire & Rubber Company,8.94,USD,Beni di consumo durevoli,2559048416.0000005,USD,
TBBK,Bancorp Inc,58.23,USD,Finanza,2557323531,USD,
RUM,"Rumble, Inc. Class A",5.88,USD,Servizi tecnologici,2556991114,USD,
CC,Chemours Co.,17.04,USD,Industrie di trasformazione,2554159007.9999995,USD,
BRSL,Brightstar Lottery PLC,13.46,USD,Servizi al consumatore,2549687043,USD,
CRVL,CorVel Corporation,49.4,USD,Finanza,2526930570,USD,
POWI,"Power Integrations, Inc.",45.51,USD,Tecnologia elettronica,2525987020.0000005,USD,
WAFD,"WaFd, Inc.",33.2,USD,Finanza,2518662768,USD,
TNK,Teekay Tankers Ltd Class A,72.88,USD,Trasporti,2517199651,USD,
NAVN,"Navan, Inc. Class A",10.11,USD,Servizi tecnologici,2513791428.9999995,USD,
SPNT,SiriusPoint Ltd,21.45,USD,Finanza,2505674200,USD,
CUBI,"Customers Bancorp, Inc.",72.96,USD,Finanza,2492903040.0000005,USD,
VC,Visteon Corporation,92.91,USD,Filiera di fabbricazione,2491798600,USD,
WVE,Wave Life Sciences Ltd.,13.49,USD,Tecnologia sanitaria,2468626114.0000005,USD,
CLSK,"Cleanspark, Inc.",9.65,USD,Servizi tecnologici,2468015379,USD,
LION,Lionsgate Studios Corp.,8.5,USD,Servizi al consumatore,2466591675,USD,
NEOG,Neogen Corp,11.33,USD,Tecnologia sanitaria,2464569402,USD,
ACLS,"Axcelis Technologies, Inc.",80.16,USD,Filiera di fabbricazione,2460848111,USD,
HLIO,"Helios Technologies, Inc.",74.23,USD,Filiera di fabbricazione,2459127957,USD,
NESR,National Energy Services Reunited Corp.,24.4,USD,Servizi industriali,2458977202,USD,
DNOW,DNOW Inc.,13.23,USD,Servizi di distribuzione,2456301547,USD,
NHC,National HealthCare Corporation,157.82,USD,Servizi sanitari,2448617353,USD,
CLMT,"Calumet, Inc.",28.14,USD,Minerali energetici,2441266462,USD,
TXG,10x Genomics Inc Class A,18.88,USD,Tecnologia sanitaria,2411962517,USD,
DYN,Dyne Therapeutics Inc,14.88,USD,Tecnologia sanitaria,2407661034.0000005,USD,
TGLS,Tecnoglass Inc.,51.26,USD,Filiera di fabbricazione,2387149753,USD,
NBTB,NBT Bancorp Inc.,45.63,USD,Finanza,2387142320.9999995,USD,
DAVE,"Dave, Inc. Class A",176.51,USD,Finanza,2383605366,USD,
IVT,InvenTrust Properties Corp,30.59,USD,Finanza,2376819814,USD,
TENB,"Tenable Holdings, Inc.",19.91,USD,Servizi tecnologici,2376144374,USD,
IMNM,"Immunome, Inc.",21.5,USD,Tecnologia sanitaria,2372208385,USD,
WGS,GeneDx Holdings Corp. Class A,82.06,USD,Servizi sanitari,2371910635,USD,
GCMG,"GCM Grosvenor, Inc. Class A",11.71,USD,Finanza,2371003262.0000005,USD,
ARCB,ArcBest Corporation,105.09,USD,Trasporti,2365683079,USD,
UNFI,"United Natural Foods, Inc.",38.74,USD,Servizi di distribuzione,2360498658,USD,
BWIN,"Baldwin Insurance Group, Inc. Class A",16.53,USD,Finanza,2356898502.9999995,USD,
RCUS,"Arcus Biosciences, Inc.",18.99,USD,Tecnologia sanitaria,2349604918,USD,
OI,O-I Glass Inc,15.38,USD,Industrie di trasformazione,2343321468,USD,
KN,Knowles Corp.,27.54,USD,Tecnologia elettronica,2338521803,USD,
DXPE,"DXP Enterprises, Inc.",149.13,USD,Servizi di distribuzione,2338252567,USD,
BUSE,First Busey Corporation,26.43,USD,Finanza,2336651218.0000005,USD,
ADPT,Adaptive Biotechnologies Corp.,15.2,USD,Tecnologia sanitaria,2320510883.9999995,USD,
IRON,"Disc Medicine, Inc.",61.36,USD,Tecnologia sanitaria,2316349854.0000005,USD,
HTH,Hilltop Holdings Inc.,38.78,USD,Finanza,2305453797,USD,
WT,"WisdomTree, Inc.",16.38,USD,Varie,2304912772,USD,
MCW,"Mister Car Wash, Inc.",7.03,USD,Servizi al consumatore,2302805850.0000005,USD,
NN,NextNav Inc.,17.07,USD,Servizi tecnologici,2301532462.0000005,USD,
TALO,"Talos Energy, Inc.",13.51,USD,Minerali energetici,2296548315.0000005,USD,
OSW,OneSpaWorld Holdings Ltd.,22.48,USD,Servizi al consumatore,2291889567,USD,
CSGS,"CSG Systems International, Inc.",79.93,USD,Servizi tecnologici,2278159750,USD,
SAH,"Sonic Automotive, Inc. Class A",66.63,USD,Vendita al dettaglio,2276925817,USD,
EFSC,Enterprise Financial Services Corp,61.44,USD,Finanza,2273950262,USD,
HURN,Huron Consulting Group Inc.,131.53,USD,Servizi commerciali,2267770321,USD,
ATKR,Atkore Inc,67.18,USD,Filiera di fabbricazione,2267368064,USD,
AVPT,"AvePoint, Inc. Class A",10.5,USD,Servizi tecnologici,2265787720,USD,
ALRM,"Alarm.com Holdings, Inc.",45.59,USD,Servizi tecnologici,2264280095,USD,
AMR,"Alpha Metallurgical Resources, Inc.",175.6,USD,Minerali energetici,2257869198,USD,
BLKB,"Blackbaud, Inc.",49.13,USD,Servizi tecnologici,2256710576,USD,
NTST,NETSTREIT Corp.,20.39,USD,Finanza,2245204356,USD,
MTX,Minerals Technologies Inc.,72.11,USD,Industrie di trasformazione,2245094959,USD,
PLAB,"Photronics, Inc.",38,USD,Tecnologia elettronica,2244456322,USD,
CENT,Central Garden & Pet Company,39.67,USD,Beni di consumo non durevoli,2243643313,USD,
CENTA,Central Garden & Pet Company Class A,35.23,USD,Beni di consumo non durevoli,2243643313,USD,
WS,"Worthington Steel, Inc.",44.07,USD,Minerali non energetici,2239004423,USD,
EPAC,Enerpac Tool Group Corp Class A,42.39,USD,Filiera di fabbricazione,2237187586,USD,
PAX,Patria Investments Ltd. Class A,14,USD,Finanza,2232537869,USD,
ANDE,"Andersons, Inc.",65.65,USD,Servizi commerciali,2224230637,USD,
JBLU,JetBlue Airways Corporation,5.975,USD,Trasporti,2211464930,USD,
NTB,Bank of N.T. Butterfield & Son Limited (The),53.67,USD,Finanza,2211370415,USD,
AGYS,"Agilysys, Inc.",78.64,USD,Servizi tecnologici,2210432436,USD,
MLYS,"Mineralys Therapeutics, Inc.",27.88,USD,Tecnologia sanitaria,2206421840,USD,
BANR,Banner Corporation,64.34,USD,Finanza,2193088603.0000005,USD,
EYE,"National Vision Holdings, Inc.",27.35,USD,Vendita al dettaglio,2169116361,USD,
SPSC,"SPS Commerce, Inc.",57.95,USD,Servizi tecnologici,2166801115.9999995,USD,
TIC,"TIC Solutions, Inc.",9.78,USD,Servizi commerciali,2163430673,USD,
VVX,V2X Inc,68.59,USD,Servizi commerciali,2162991149.9999995,USD,
PLUS,ePlus inc.,81.95,USD,Servizi tecnologici,2162870289.9999995,USD,
IE,Ivanhoe Electric Inc.,14.92,USD,Minerali non energetici,2159144569,USD,
WD,"Walker & Dunlop, Inc.",63.26,USD,Finanza,2154903251.0000005,USD,
BL,"BlackLine, Inc.",36.15,USD,Servizi tecnologici,2150443126,USD,
PARR,Par Pacific Holdings Inc,42.75,USD,Minerali energetici,2149942060,USD,
NTCT,"NetScout Systems, Inc.",29.7,USD,Servizi tecnologici,2144944515.0000002,USD,
SEZL,Sezzle Inc.,62.75,USD,Servizi tecnologici,2143107204.9999998,USD,
PAHC,Phibro Animal Health Corporation Class A,52.8,USD,Tecnologia sanitaria,2142872975,USD,
DNTH,"Dianthus Therapeutics, Inc.",49.56,USD,Tecnologia sanitaria,2142136456.0000005,USD,
HTFL,"HeartFlow, Inc.",25.1,USD,Servizi tecnologici,2137483953,USD,
ARR,"ARMOUR Residential REIT, Inc.",17.89,USD,Finanza,2135796114.0000002,USD,
ADUS,Addus HomeCare Corporation,115.48,USD,Servizi sanitari,2134448155.9999998,USD,
GNL,Global Net Lease Inc,9.72,USD,Finanza,2130934452.9999998,USD,
MAZE,"Maze Therapeutics, Inc.",44.22,USD,Tecnologia sanitaria,2127841952,USD,
GRDN,"Guardian Pharmacy Services, Inc. Class A",33.54,USD,Vendita al dettaglio,2123774063,USD,
WERN,"Werner Enterprises, Inc.",35.43,USD,Trasporti,2119788066.0000002,USD,
SLNO,Soleno Therapeutics Inc,39.36,USD,Tecnologia sanitaria,2114026498.0000002,USD,
BUR,Burford Capital Limited,9.65,USD,Finanza,2112360243.8818564,USD,
LMAT,"LeMaitre Vascular, Inc.",92.94,USD,Tecnologia sanitaria,2108436262.9999998,USD,
KSS,Kohl's Corporation,18.78,USD,Vendita al dettaglio,2106912992,USD,
FRSH,"Freshworks, Inc. Class A",7.46,USD,Servizi tecnologici,2103509213,USD,
FIHL,Fidelis Insurance Holdings Ltd.,20.04,USD,Finanza,2101431203,USD,
SLDE,"Slide Insurance Holdings, Inc.",16.88,USD,Servizi tecnologici,2098011634,USD,
KALU,Kaiser Aluminum Corporation,129.02,USD,Minerali non energetici,2091471489.0000002,USD,
FLOC,Flowco Holdings Inc Class A,23.31,USD,Servizi industriali,2090038797.0000002,USD,
CCS,"Century Communities, Inc.",71.85,USD,Beni di consumo durevoli,2087279539.9999998,USD,
CASH,"Pathward Financial, Inc.",95.71,USD,Finanza,2083002293.0000002,USD,
CVI,"CVR Energy, Inc.",20.72,USD,Minerali energetici,2082993993.9999998,USD,
BHE,"Benchmark Electronics, Inc.",58.38,USD,Tecnologia elettronica,2082936098.9999998,USD,
ADEA,Adeia Inc.,19.01,USD,Servizi tecnologici,2081788647,USD,
MBIN,Merchants Bancorp,45.33,USD,Finanza,2080159172.0000002,USD,
NWN,Northwest Natural Holding Co.,50.11,USD,Utenze,2079917896.9999998,USD,
GRND,Grindr Inc.,11.24,USD,Servizi tecnologici,2076411588.9999998,USD,
SMA,"SmartStop Self Storage REIT, Inc.",34.85,USD,Finanza,2067901393,USD,
CMRE,Costamare Inc.,17.19,USD,Trasporti,2067429634,USD,
DK,Delek US Holdings Inc,34.37,USD,Minerali energetici,2063971903.0000002,USD,
HLF,Herbalife Ltd.,19.96,USD,Beni di consumo non durevoli,2063176532,USD,
PRDO,Perdoceo Education Corporation,32.84,USD,Servizi al consumatore,2051789702,USD,
UNIT,Uniti Group Inc.,8.58,USD,Finanza,2050931703.0000002,USD,
SYBT,"Stock Yards Bancorp, Inc.",69.33,USD,Finanza,2043774238,USD,
VAC,Marriott Vacations Worldwide Corporation,58.9,USD,Servizi al consumatore,2038764110.0000002,USD,
IMAX,IMAX Corporation,37.81,USD,Beni di consumo durevoli,2034137804,USD,
DRH,DiamondRock Hospitality Company,9.93,USD,Finanza,2033113424,USD,
VERX,"Vertex, Inc. Class A",12.74,USD,Servizi tecnologici,2032390786.9999998,USD,
PSIX,"Power Solutions International, Inc.",88.09,USD,Filiera di fabbricazione,2029675421,USD,
STC,Stewart Information Services Corporation,67.79,USD,Finanza,2028561807.9999998,USD,
XPRO,Expro Group Holdings N.V.,17.79,USD,Minerali energetici,2023889486.9999998,USD,
HCI,"HCI Group, Inc.",156.12,USD,Finanza,2023320949,USD,
IOSP,Innospec Inc.,81.22,USD,Industrie di trasformazione,2012457717,USD,
SGRY,"Surgery Partners, Inc.",15.54,USD,Servizi sanitari,2009971281,USD,
HTO,H2O America,55.19,USD,Utenze,1976082760.0000002,USD,
STEL,"Stellar Bancorp, Inc.",38.86,USD,Finanza,1972517852,USD,
FDP,Fresh Del Monte Produce Inc.,41.45,USD,Industrie di trasformazione,1964047183,USD,
STOK,"Stoke Therapeutics, Inc.",34.29,USD,Tecnologia sanitaria,1958547104,USD,
GRAL,GRAIL Inc,50.21,USD,Tecnologia sanitaria,1957297407.0000002,USD,
ALGT,Allegiant Travel Company,107.62,USD,Trasporti,1952073859.0000002,USD,
ADNT,Adient plc,24.86,USD,Filiera di fabbricazione,1947560048.0000002,USD,
PRKS,United Parks & Resorts Inc.,35.44,USD,Servizi al consumatore,1933273529,USD,
ATEC,"Alphatec Holdings, Inc.",13.01,USD,Tecnologia sanitaria,1932637955.9999998,USD,
ASGN,ASGN Incorporated,45.25,USD,Servizi tecnologici,1932175035,USD,
PAYO,Payoneer Global Inc.,5.41,USD,Servizi commerciali,1928342010,USD,
BLBD,Blue Bird Corporation,61,USD,Beni di consumo durevoli,1927106009.0000002,USD,
VCEL,Vericel Corporation,38.09,USD,Tecnologia sanitaria,1926364735.0000002,USD,
HROW,"Harrow, Inc.",52,USD,Tecnologia sanitaria,1925947539.9999998,USD,
BRZE,"Braze, Inc. Class A",17.16,USD,Servizi tecnologici,1925617869,USD,
SLVM,Sylvamo Corporation,48.7,USD,Industrie di trasformazione,1920643249,USD,
CLBK,"Columbia Financial, Inc.",18.44,USD,Finanza,1917476995.0000002,USD,
ROG,Rogers Corporation,107.49,USD,Industrie di trasformazione,1916296528.0000005,USD,
NBHC,National Bank Holdings Corporation Class A,42.52,USD,Finanza,1915605953,USD,
FCF,First Commonwealth Financial Corporation,18.42,USD,Finanza,1911369425,USD,
GTY,Getty Realty Corp.,31.8,USD,Finanza,1902165676,USD,
